F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
-6.21,10.197,816.72,-111,0.06,-7.1452,-1468.16,-22470.57,1266.24,-0.3647,1,-173.67,8.63123,1,-5979.72,1.9254,-17.527,-11.055,2.344,-8078.68,14.21,False
-3.828,11.106,-693.32,-250.3,0.06,-6.8804,-1399.704,-22479.08,-1186.5,-0.4929,1,-128.769,11.522,1,-5606.52,0.8958,-22.08,-14.271,2.513,-8021.78,14.76,False
-12.693,8.6685,1488.88,-242.7,2.06,-8.456,-1436.148,-22434.362,560.9,-0.2925,1,-113.625,8.8926,0,-2686.02,1.2426,-6.521,-6.9672,0.8122,-7802.06,13.79,False
-2.5401,10.779,760.04,-347.79,0.06,-10.93,-1418.076,-22446.312,970.84,-1.35,0,-128.016,9.5566,0,5614.98,4.306,-9.789,-6.49701,0.722,-8945.08,14.82,True
-5.82,8.7108,562.08,654.8,0.06,-6.5655,-1577.92,-22436.523,1269.82,-1.272,1,-161.73,9.0964,1,-3733.62,2.706,-9.918,-6.9228,0.9601,-8047.08,,True
-2.34501,8.901,965.396,-199.5,2.06,-7.498,-1288.58,-22584.15,-160.1,-3.086,1,-152.97,10.4142,0,-1060.02,1.4226,-15.724,-7.1028,0.5694,-6601.08,13.61,False
-2.3739,7.3602,956.0122,-1292.1,0.06,-6.8016,-580.54,-22349.92,748.9,-3.263,1,-132.195,9.509,0,-1033.02,2.1018,-18.467,-6.5751,0.9314,-7961.15,,False
-2.11686,10.869,913.26,206,2.06,-6.8132,-1354.14,-22414.9,-3596.5,-1.636,1,-120.765,8.8926,1,-5601.72,0.8894,-17.825,-16.482,1.2996,-7633.38,14.33,True
-4.1154,8.1189,-725.92,-370.13,0.06,-11.706,-1361.94,-22424.32,790.7,-0.2691,1,-124.776,11.956,0,-5401.32,2.214,-13.8579,-10.236,0.8138,-8707.98,,True
-3.3204,13.254,933.26,-1468.2,0.06,-6.938,-1317.86,-22465.65,899.32,-1.22,0,-108.048,8.73504,0,-5952.81,2.944,-19.582,-11.34,2.557,-8028.78,14,True
-2.7309,10.113,844.78,-422.91,0.06,-6.7958,-1447.64,-22427.619,1472.3,-2.017,0,-119.433,11.474,1,-4908.72,1.3372,-12.125,-7.6107,1.865,-7705.28,14.22,False
-5.523,7.8711,479.48,1701.8,2.06,-6.6492,-2020.54,-22446.458,1222.4,-0.7626,1,-154.14,10.912,0,-3948.42,5.874,-6.889,-6.819,1.771,-7845.25,,True
-4.2756,10.752,992.06,-180.6,2.06,-7.1634,-1422.448,-22452.94,1024.3,-2.016,1,-118.212,8.6208724,0,-5631.12,1.5132,-18.635,-9.492,4.604,-7897.723,,False
-2.4849,9.4026,1038.96,-604.4,0.06,-8.3906,-1237.72,-22421.88,792.5,-0.4673,1,-112.95,8.8336,1,-5942.19,1.5304,-13.6736,-10.056,2.006,-8029.88,15.26,False
-2.2647,10.107,-46.52,-3930.2,0.06,-6.59796,-1224.72,-22439.714,161.7,-0.359,1,-165.54,11.38,1,-4549.92,1.0908,-6.111,-6.7194,0.5792,-10327.08,13.74,True
-3.0645,7.6674,986.5,-316.13,2.06,-8.718,-1604.76,-22464.07,1201.42,-0.5284,0,-114.705,8.9468,0,-5794.23,2.4574,-11.534,-10.338,0.582,-7410.18,,False
-2.8398,10.437,980.08,-1301.1,2.06,-6.8242,-1251.56,-22430.676,-1950.5,-3.17,0,-111.492,8.9466,0,-4793.52,0.87168,-6.024,-6.9897,1.841,-8165.88,14.26,True
-2.4555,12.573,507.68,-1416.2,2.06,-6.61476,-1354.94,-22448.68,-2490.5,-1.144,1,-117.99,8.6514,1,-4843.92,0.85334,-16.12,-8.7627,0.6438,-9024.08,,True
-12.036,10.623,-28.92,-232.6,0.06,-7.9912,-1427.112,-22439.418,807.3,-0.4174,0,-124.062,9.4928,1,-3443.82,2.1658,-8.405,-7.5696,4.679,-7904.804,,False
-4.9275,9.5736,1053.56,-573.7,0.06,-9.424,-1161.14,-22451.52,387.3,-0.4386,1,-109.194,8.629154,0,-5531.52,1.5664,-3.73,-7.7493,0.9767,-8609.88,15.73,True
-4.6659,7.3104,-322.52,-2084.2,2.06,-6.6948,-801.74,-22432.452,480.1,-0.494,0,-191.4,8.620632,1,-4432.02,0.83998,-14.3779,-6.9759,0.5684,-9800.08,,True
-10.035,9.858,1180.08,-1537.2,0.06,-6.60882,-1247.14,-22233.25,730.9,-0.5154,1,-149.04,8.74256,1,-5866.17,2.5312,-17.928,-13.188,1.819,-8168.28,14.7,False
-4.5753,8.1,-109.32,-315.12,0.06,-7.657,-1274.92,-22430.707,991.3,-0.5907,1,-109.677,9.4514,0,-4568.22,9.56,-21.711,-8.9592,2.164,-8078.28,,True
-5.637,7.8498,-2287.32,1674.8,2.06,-6.54672,-1822.94,-22385.44,1446.9,-0.2523,0,-126.069,8.73878,0,-5170.62,2.134,-9.703,-7.7868,0.8043,-7939.41,13.12,False
-7.869,7.59,940.01,-796.1,2.06,-7.8394,-1031.74,-22456.05,1337.1,-2.656,1,-111.759,10.898,0,-6245.49,1.9874,-3.95,-9.27,0.6355,-7359.68,14.94,False
-3.3027,7.00743,584.28,-440.8,2.06,-13.14,-147.94,-22509.48,777.1,-1.0641,1,-111.312,11.42,0,-4471.02,1.8762,-10.466,-7.506,1.496,-8137.48,15.88,True
-4.0632,8.7048,1124.32,-1499.2,0.06,-6.8488,-1056.74,-22416.57,784.5,-0.8088,0,-140.04,8.9678,0,-1291.02,2.942,-14.0198,-6.6462,1.585,-7774.18,13.89,False
-7.2,9.912,561.68,-1362.6,0.06,-6.7238,-1406.054,-22467.53,2672.7,-1.0648,1,-148.53,9.106,0,-6119.22,0.9488,-4.34,-11.703,2.875,-8062.18,16.62,True
-3.5124,18.93,1008.98,-687.6,2.06,-8.0072,-1401.974,-22482.83,1909.9,-1.979,1,-109.566,12.498,0,-6473.52,1.4232,-18.17,-11.637,0.6042,-9549.08,15.58,False
-2.517,8.8035,961.128,-393.759,2.06,-9.354,-1301.3,-22453.96,1002.88,-1.747,1,-134.151,8.6618,0,-5917.47,6.354,-14.5394,-17.667,0.7029,-8975.08,,False
-6.69,16.869,510.68,907.8,0.06,-6.7188,-1469.72,-22458.43,1323.9,-1.1257,1,-114.855,9.1806,1,-5152.02,2.816,-19.113,-7.4646,0.9387,-8616.98,14.23,True
-4.1433,10.011,1078.52,-373.81,0.06,-11.794,-1434.344,-22422.13,1575.3,-0.9759,0,-125.856,9.5556,0,-5884.05,0.85874,-7.954,-10.608,2.717,-7936.14,16.6,False
-8.418,7.347,-1467.32,-306.24,2.06,-7.5342,-1732.94,-22521.91,1285.7,-0.22603,1,-159.27,11.434,1,-4462.02,1.9526,-19.426,-7.2735,1.524,-7755.48,14.68,True
-9.123,7.6734,1395.48,-519.8,2.06,-9.636,-1217.64,-22523.15,3345.5,-0.2786,1,-161.97,9.36,1,-6172.62,0.86638,-13.7725,-13.317,0.5361,-7419.38,13.59,False
-4.4763,7.1439,907.3,-702.7,2.06,-8.468,-701.14,-22411.97,2187.1,-1.319,1,-105.3636,11.33,1,-6417.42,1.2264,-14.4285,-12.873,2.305,-8135.18,14.55,False
-2.22225,13.647,318.88,-631.3,2.06,-8.3164,-1400.716,-22337.72,1632.7,-0.6717,0,-123.951,10.998,1,-7139.82,1.5678,-9.909,-6.9075,0.8351,-8685.48,,True
-2.24385,7.7757,74.88,-871.2,0.06,-7.509,-909.74,-22399.04,962.06,-0.345,1,-128.439,8.6205088,0,-4960.32,3.392,-18.864,-7.5978,2.121,-7875.14,14.63,False
-2.8389,9.0255,-285.12,-347.97,0.06,-12.242,-1705.74,-22429.142,1510.1,-0.7288,0,-187.56,8.72638,1,-5689.32,2.4222,-29.54,-10.467,0.9521,-8231.08,,True
-2.31141,9.222,1062.92,-324.12,2.06,-8.992,-1377.62,-22445.048,932.92,-0.5235,1,-159.36,9.102,1,-4903.62,3.644,-13.7396,-8.5416,1.1357,-7801.79,14.65,False
-4.0602,8.0652,987.76,-187.7,0.06,-7.2344,-1275.12,-22431.841,-3166.5,-0.7936,1,-138.45,8.9886,1,-5566.62,0.82584,-16.221,-12.873,0.6836,-7324.28,,False
-4.4157,7.974,736.28,-839.2,0.06,-6.8736,-997.94,-22425.53,-1008.5,-0.5753,0,-118.416,8.65904,0,-5654.22,1.0414,-20.617,-11.877,0.8599,-8620.38,,True
-3.8607,7.989,918.44,-683.4,0.06,-8.582,-1131.14,-22319.35,1271.44,-2.058,1,-141.09,9.8548,0,-8200.32,2.73,-17.312,-7.0407,0.9803,-8576.28,,True
-6.372,7.1841,1047.7,6.8,2.06,-6.56286,-1042.94,-22563.75,731.1,-0.7697,1,-164.97,8.633812,1,-4814.82,1.5734,-15.4496,-7.8255,1.1505,-7839.11,,False
-4.8249,13.545,1350.28,-457.64,0.06,-7.533,-1362.48,-22419.28,873.1,-0.6964,1,-134.601,10.894,1,-5869.14,2.934,-12.191,-11.115,2.314,-8070.48,,False
-6.945,7.581,-5021.32,-869,0.06,-7.6266,-1138.34,-22384.63,2163.1,-0.18952,0,-120.189,8.6408,0,-6192.93,1.0806,-11.297,-12.033,1.3889,-8228.18,,True
-5.466,8.8836,-3027.32,-61,2.06,-8.424,-1899.34,-22493,6251.5,-0.22687,0,-120.381,8.6865,1,-5752.02,0.9102,-10.61,-8.6571,1.968,-7838.97,13.73,True
-6.93,8.7879,949.524,-378.24,2.06,-11.624,-1322.96,-22425.75,-1642.5,-4.143,1,-138.84,12.296,0,-5539.02,0.86944,-20.022,-10.422,1.1274,-8324.58,,False
-8.484,10.758,1482.68,-1171.9,2.06,-7.0528,-1353.64,-22374.36,1455.9,-0.4022,0,-112.845,8.64962,1,-6550.02,2.089,-20.099,-10.386,0.5722,-9287.08,12.93,False
-2.6199,10.455,750.88,-490.03,0.06,-10.984,-1299.38,-22507.72,946.16,-1.392,0,-121.611,8.68388,0,-1696.02,3.426,-11.301,-6.7401,2.304,-7862.66,13.23,False
-3.9486,11.301,381.48,-179.6,0.06,-6.9158,-1442.34,-22414.09,1567.3,-0.2927,1,-197.91,8.65666,1,-5963.49,1.1496,-12.246,-9.816,0.5886,-9998.08,,True
-8.655,7.8813,-1381.32,-652.6,0.06,-7.7332,-1045.94,-22406.45,-90.7,-0.279,0,-114.864,9.0634,0,-4741.02,1.1034,-13.7801,-8.3364,0.6515,-7716.48,13.84,False
-2.73,9.2061,2942.88,-119.2,0.06,-8.1608,-1483.56,-22437.653,1022.72,-0.265,1,-135.3,10.724,1,-3630.72,2.866,-15.0925,-6.6963,0.564,-10309.08,13.45,False
-4.209,16.116,673.88,217.2,0.06,-6.59794,-1425.64,-22437.155,1103.5,-0.3404,1,-116.694,9.0634,1,-5578.32,6.758,-16.984,-7.2684,0.914,-8563.58,,True
-4.0698,10.299,1191.88,-487.83,0.06,-10.56,-1285.72,-22458.58,990.38,-0.3291,1,-139.59,9.0566,1,-5992.83,4.012,-14.0936,-15,0.8633,-8388.88,14.78,False
-2.13396,8.3382,1047.82,-943,0.06,-7.2906,-1063.14,-22403.11,846.9,-1.393,0,-160.23,8.9796,1,-5951.31,2.0436,-14.7893,-14.802,1.047,-7643.98,14.24,False
-3.9984,8.9373,1095.52,-477.72,0.06,-10.462,-1347.84,-22400.37,1155.94,-1.165,0,-146.01,8.624316,1,-7047.72,6.552,-5.636,-7.8459,0.6129,-9263.08,,True
-6.882,7.3923,1121.54,-365.71,2.06,-9.86,-1428.446,-22467.32,1100.34,-1.528,1,-131.964,8.73244,1,-5725.62,3.506,-21.71,-9.1635,0.5275,-5993.08,,False
-3.3654,8.5632,-2597.32,-68.7,0.06,-7.0592,-1617.04,-22444.519,1314.3,-0.22743,0,-124.611,12.806,0,-5949.9,2.81,-11.016,-10.335,0.9791,-8625.98,,True
-2.7327,12.087,377.08,-690,2.06,-8.3248,-1381.36,-22416.7,1475.1,-0.7244,1,-107.0775,8.6200501,1,-7330.02,1.9592,-10.578,-7.008,2.447,-8053.28,,True
-6.417,12.687,2126.28,-488.09,0.06,-13.644,-1376.12,-22447.74,2686.9,-0.2935,1,-118.44,10.946,0,-6455.22,1.1918,-17.512,-14.457,0.6444,-9060.08,16.6,True
-3.8106,10.11,632.88,-496.36,0.06,-8.0826,-1384.66,-22430.431,1138.48,-0.8681,0,-110.544,9.5386,0,-4290.42,1.0836,-30.03,-7.0695,1.3841,-7883.74,15.04,False
-4.0002,9.3012,-1951.32,-694.7,2.06,-8.0816,-1365.36,-22383.39,1316.5,-0.2828,1,-105.2904,8.6200021,0,-5408.22,2.469,-11.954,-6.9168,0.5891,-7400.68,,True
-3.2625,7.2567,817.64,-786.8,0.06,-6.6932,-896.54,-22444.842,997.78,-1.939,1,-133.953,8.624916,1,-5580.42,6.268,-9.355,-11.877,0.8274,-7912.86,15.79,True
-3.4239,10.362,924.38,-577.7,2.06,-7.1364,-1387.4,-22519.77,1431.5,-0.6854,1,-227.55,9.1236,0,-6067.092,1.1086,-17.841,-9.408,0.6159,-9365.08,,False
-2.20143,12.003,982.92,-329.63,0.06,-6.5803,-1358.12,-22367.47,980.62,-0.897,0,-273.84,8.7161,1,-3130.62,7.086,-10.245,-7.2321,2.633,-7858.56,,False
-6.999,9.6309,237.68,-370.51,0.06,-11.358,-1537.66,-22464.64,1453.1,-0.587,0,-122.451,8.635832,0,-5884.71,2.0496,-13.535,-12.417,1.64,-7880.95,,False
-2.9532,9.6942,993.5,-427.64,0.06,-13.508,-1295.86,-22445.993,858.9,-0.4042,0,-139.89,8.9638,0,-5419.32,2.3254,-8.793,-8.076,0.6091,-9248.08,15.67,False
-2.9502,7.9035,1093.42,-384,0.06,-13.382,-1553.64,-22192.05,1807.9,-0.6782,1,-138.03,8.72102,0,-6098.82,1.2252,-15.3756,-18.03,2.997,-8026.28,15.86,True
-2.9928,11.508,344.68,-590.4,2.06,-8.936,-1381.74,-22432.509,3643.5,-0.9472,0,-158.13,8.67934,1,-5849.46,0.79652,-10.305,-9.2667,0.5693,-8353.18,15.97,True
-6.627,15.606,386.48,-215.1,2.06,-6.9394,-1447.4,-22403.5,1636.5,-0.8099,0,-142.98,10.4604,0,-5822.16,1.4308,-11.747,-10.38,1.1301,-8143.78,16.21,True
-4.4229,6.98352,908.14,-458.37,0.06,-14.098,1108.46,-22402.4,-236.5,-1.348,0,-107.6493,8.985,1,-5659.02,1.1096,-13.209,-11.313,0.5653,-7193.58,14.12,False
-2.4951,7.4073,636.68,-761.9,2.06,-7.8844,-491.14,-22434.827,343.5,-1.145,0,-183.96,9.0958,0,-5811.36,1.4972,-14.9025,-17.331,1.928,-7787.08,12.83,False
-4.0308,12.114,838.34,-3604.2,0.06,-6.54392,-1389.12,-22417.23,2368.9,-2.222,0,-107.1069,9.2658,1,-6033.108,0.9514,-16.115,-12.897,2.701,-7876.86,,False
-2.0717757,13.392,933.26,-485.75,0.06,-7.8176,-1345.86,-22453.33,254.7,-2.077,0,-120.171,13.46,0,-5554.02,1.622,-5.27,-10.854,0.8128,-8741.68,15.53,True
-2.7708,8.4279,-6401.32,-367.26,0.06,-10.366,-1631.54,-22325.05,1162.16,-0.19833,0,-118.506,8.621375,1,-4861.92,6.508,-18.347,-7.3446,2.767,-7953.7,,True
-4.9854,14.796,899.12,-3577.2,2.06,-6.52982,-1378.46,-22479.51,1080.386,-1.947,1,-116.901,9.915,1,-6050.397,2.607,-20.26,-10.833,0.6087,-9630.08,,False
-4.0956,7.3458,583.88,-2273.2,2.06,-6.6404,-664.74,-22471.54,125.9,-0.984,0,-214.8,8.9648,0,-4551.72,1.0378,-17.519,-7.1781,1.2119,-8317.88,,True
-2.35365,9.4761,705.68,-660.7,2.06,-7.6116,-1223.06,-22429.387,-5582.5,-1.41,1,-109.038,8.6889,0,-5192.22,0.7893,-4.806,-9.1575,2.639,-8062.68,,True
-2.7642,15.669,1051.38,-1348.2,2.06,-6.6962,-1342.56,-22434.131,884.42,-2.208,1,-108.759,14.27,1,-5596.02,4.848,-19.305,-8.4912,0.5985,-10956.08,,False
-2.3547,8.3499,1154.5,-272.2,2.06,-9.64,-1653.54,-22431.226,3849.5,-0.6119,1,-115.059,8.624652,0,-4983.72,0.80726,-9.783,-7.4679,0.51491,-5316.08,,False
-3.8529,7.1451,601.88,-558.2,2.06,-9.396,-1188.94,-22449.74,1393.3,-0.8846,1,-129.3,9.3682,1,-6063.5445,2.4994,-17.036,-13.164,0.7637,-7088.48,,True
-2.6553,8.553,545.68,3.2,2.06,-7.0124,-1629.54,-22412.89,1305.3,-0.6627,1,-109.881,9.0684,1,445.98,2.874,-11.012,-6.48081,0.8007,-7303.88,,True
-3.9939,7.3248,1094.88,-615.8,2.06,-8.2372,-896.34,-22421.38,1109.62,-0.6252,1,-106.8447,9.653,1,-6060.9508,5.466,-17.431,-11.811,1.995,-7816.31,,False
-2.25213,12.372,942.38,-250.6,2.06,-7.6606,-1478.34,-22448.08,1393.7,-0.7885,0,-115.779,8.71368,1,-5961.27,2.714,-15.1719,-6.8925,1.1627,-7786.28,,False
-3.1641,11.43,1533.28,-500.21,2.06,-7.8818,-1372.78,-22411.39,1095.628,-0.4716,1,-140.85,9.007,0,-5170.92,1.5112,-12.344,-6.7782,0.5997,-7311.08,,False
-2.4729,16.704,970.334,-410.471,0.06,-8.954,-1400.562,-23587.65,1018.18,-3.743,0,-131.658,10.1422,0,-3470.82,3.706,-14.7589,-6.7905,1.2051,-7919.77,,False
-5.91,8.6691,571.48,-313.08,0.06,-7.8176,-1413.614,-22468.78,1049.4,-0.3145,1,-128.826,11.408,1,-5716.02,3.922,-9.347,-10.056,2.706,-8011.98,,True
-2.27322,8.9316,836.86,-514.3,0.06,-7.8742,-1258.76,-22511.79,929.56,-3.493,0,-143.64,10.5038,1,-5631.72,5.284,-23.367,-16.059,3.423,-7791.28,,False
-6.216,7.0506,1183.68,-1386.3,2.06,-7.1124,-446.54,-22433.147,3070.3,-0.7563,0,-139.89,9.1152,0,-17266.02,1.0838,-14.2699,-6.55611,1.1018,-8297.58,,True
-2.22597,9.7026,963.014,-928.9,0.06,-7.1804,-1244.7,-22442.007,928.24,-1.266,0,-120.399,8.6207196,0,-5785.98,2.87,-15.0606,-8.6982,1.1851,-8197.88,,True
-4.3161,7.1838,363.28,-743.2,2.06,-8.0482,-179.54,-22441.889,-584.3,-0.6131,1,-118.125,8.9128,1,-5669.52,0.883,-12.872,-10.764,1.838,-7847.44,,True
-4.7202,8.3844,731.08,-465.54,0.06,-13.712,-1129.14,-22474.94,596.1,-1.573,0,-129.387,9.9398,1,-5707.62,1.4736,-15.938,-12.582,0.6996,-7530.68,14.73,False
-2.1237,12.738,983.8,-277.5,2.06,-8.1448,-1451.98,-22600.65,1463.3,-0.3259,0,-126.264,8.634638,0,-5996.76,1.5134,-20.04,-8.7792,1.718,-8131.08,,True
-2.8158,13.389,-923.52,-419.44,0.06,-7.963,-1369.94,-22450.37,-4080.5,-0.3867,1,-135.39,8.76992,0,8146.98,0.8398,-28.56,-6.54564,0.7105,-8885.88,14.74,True
-4.4067,8.6586,524.08,-748.4,2.06,-8.2672,-1016.34,-22437.887,744.5,-0.8063,0,-107.916,11.748,0,9802.98,2.974,-26.9,-6.45255,1.617,-7742.48,,False
-2.6718,11.364,685.28,-601.9,2.06,-9.362,-1282.74,-22445.341,900.1,-1.008,0,-125.01,8.64862,1,-5051.52,2.976,-8.64,-7.2624,2.728,-8035.38,,True
-2.91,8.6217,-149.92,-633.5,0.06,-8.778,-1235.16,-22559.15,1063.624,-0.615,0,-205.92,10.654,1,-3229.92,0.8024,-17.347,-6.6909,0.7122,-8413.28,14.43,False
-2.6007,7.1559,1041.94,-275.9,2.06,-8.2898,-1290.24,-22287.35,894.06,-0.8372,1,-107.442,8.626452,1,3652.98,2.6518,-23.032,-6.52146,2.304,-7872.43,,False
